chipwidth : 1000
numBlocks : 500
0 : 94 6
1 : 22 1
2 : 25 23
3 : 2 13
4 : 7 6
5 : 16 133
6 : 37 13
7 : 42 91
8 : 32 7
9 : 4 53
10 : 27 10
11 : 57 16
12 : 32 2
13 : 2 3
14 : 31 41
15 : 22 1
16 : 1 103
17 : 4 4
18 : 7 62
19 : 41 5
20 : 24 19
21 : 50 59
22 : 69 42
23 : 67 63
24 : 168 76
25 : 19 52
26 : 1 2
27 : 29 79
28 : 31 3
29 : 18 58
30 : 5 18
31 : 23 41
32 : 3 69
33 : 9 10
34 : 112 22
35 : 11 19
36 : 202 57
37 : 14 24
38 : 60 77
39 : 48 3
40 : 40 25
41 : 4 14
42 : 37 20
43 : 69 26
44 : 28 29
45 : 17 32
46 : 9 119
47 : 40 4
48 : 15 61
49 : 48 16
50 : 14 55
51 : 15 19
52 : 34 113
53 : 94 81
54 : 53 15
55 : 8 31
56 : 1 14
57 : 36 36
58 : 1 1
59 : 3 33
60 : 12 5
61 : 12 11
62 : 24 9
63 : 20 32
64 : 82 39
65 : 21 72
66 : 34 6
67 : 56 8
68 : 25 15
69 : 66 2
70 : 18 79
71 : 29 39
72 : 41 115
73 : 104 6
74 : 44 25
75 : 15 18
76 : 49 7
77 : 22 95
78 : 8 6
79 : 7 38
80 : 7 42
81 : 49 116
82 : 69 41
83 : 69 18
84 : 5 50
85 : 23 24
86 : 91 8
87 : 34 83
88 : 9 8
89 : 13 33
90 : 32 11
91 : 9 26
92 : 22 3
93 : 18 14
94 : 143 54
95 : 133 58
96 : 15 36
97 : 6 38
98 : 71 4
99 : 9 4
100 : 17 125
101 : 7 14
102 : 8 17
103 : 26 32
104 : 17 12
105 : 29 94
106 : 14 14
107 : 22 59
108 : 75 2
109 : 10 21
110 : 48 4
111 : 17 22
112 : 77 11
113 : 90 39
114 : 126 10
115 : 27 4
116 : 32 24
117 : 11 51
118 : 70 16
119 : 70 27
120 : 22 25
121 : 4 48
122 : 5 8
123 : 11 12
124 : 3 33
125 : 19 16
126 : 42 92
127 : 28 226
128 : 22 23
129 : 11 8
130 : 49 15
131 : 3 39
132 : 94 32
133 : 68 40
134 : 4 1
135 : 36 14
136 : 10 6
137 : 22 14
138 : 67 7
139 : 21 81
140 : 28 148
141 : 36 47
142 : 22 61
143 : 62 9
144 : 5 22
145 : 95 114
146 : 18 80
147 : 61 15
148 : 35 2
149 : 3 15
150 : 5 67
151 : 47 9
152 : 50 17
153 : 32 25
154 : 4 14
